token_id,image,Background,Skin Tone,Body Shape,Top,Eyebrows,Eye Style,Eye Color,Mouth,Hair (Front),Hair (Back),Hair Color,Hat,Necklace,Archetype of Power,Sun Sign,Moon Sign,Rising Sign,Will,Wisdom,Wonder,Woe,Wit,Wiles,Face Markings,Facewear,Hair Topper,Back Item,Earrings,Forehead Jewelry,Hair (Middle),Mask,Outerwear
1302,https://cryptocoven.s3.amazonaws.com/e1a7dd7838ad0ebd39e3a5296792f5e3.png,Pink,Midnight,Chiseled,Shroud (Dusk),Thin Arched (Grey),Circle Lens,Bicolor Pink Turquoise,Witchy Pout (Black),Curl Cloud,Curl Cloud,Navy,,,Seer,Aquarius,Taurus,Capricorn,9,6,3,2,6,7,,,,,Piercing Eye (Pink),,Cute Buns,,Feather Robe (White)
1303,https://cryptocoven.s3.amazonaws.com/1d6a6cc33f18a88744ef30578ab618eb.png,Pink,Sunset,Chiseled,Shroud (Lilac),Bushy (Brown),Sunset Almond,Gold,Bow (Dusk),Aradia,Aradia,Platinum,Hoodlondon Hathor (Gold),,Enchantress,Aquarius,Libra,Libra,8,2,6,7,9,3,,,,,Beaded Tassel (Ruby),,,Moth Gauze (White),
1304,https://cryptocoven.s3.amazonaws.com/6d9481993da0587c40e301449ee6caaa.png,Sea,Night,Lithe,Shroud (Dusty Rose),Arched (Brown),Sunset Almond,Gold,Glossy Medusa (Natural),Aletheia,,Steel,Lined (Black),,Seer,Aquarius,Libra,Sagittarius,6,9,5,8,2,4,Mark of Leon,Eyepatch (Black),,Lily,Beaded Tassel (Ruby),,,,
1305,https://cryptocoven.s3.amazonaws.com/86c4e0240dd8be07f18bf9f50a631d4f.png,Lavender,Dusk,Lithe,Shroud (Dusk),Bushy (White),Babylash,Green,Bow (Dusk),Sheer Pearl Veil,Sheer Pearl Veil,Blue,,,Enchantress,Pisces,Capricorn,Virgo,6,2,0,3,8,6,,,,Chinese Lantern,,,,,
1306,https://cryptocoven.s3.amazonaws.com/19e26b28ccc28b55f45a722663323713.png,Plum,Day,Soft,Vivetta Ghost Hand Collar (Black),Medium Flat (Black),Babylash,Purple,Plump (Natural),Xuannu,Xuannu,Lilac,,,Necromancer,Pisces,Aries,Capricorn,4,1,5,7,8,0,Cheek and Chin Mole,,Bat Wings,Monstera,,,,,
1307,https://cryptocoven.s3.amazonaws.com/c0a3bbacbb1f5fbd5ad1f35e4ffdc3fd.png,Taupe,Dusk,Lithe,Striped Shroud (Umber),Pencil (White),Hypnotic,Grey,Parted (Black),Aradia Short,Aradia,Lavender,Witch,Studded Collar (Silver),Enchantress,Scorpio,Capricorn,Gemini,9,4,0,5,9,3,,Sad Girl Tears,,Monstera,,,,,
1308,https://cryptocoven.s3.amazonaws.com/d820beeb6c2780485a73b75a4a526c79.png,Sea,Day,Lithe,Victorian Frippery (White),Round (Navy),Hooded Side,Gold,Witchy Pout (Black),Aletheia,Soft Waves,Ash,,,Necromancer,Virgo,Gemini,Aries,8,9,7,9,6,3,,Swiss Dot Veil (Black),Maleficent Horns,Lily,,,,,
1309,https://cryptocoven.s3.amazonaws.com/e48e8ce6dfd64b4f6e1ca31d2e834ffe.png,Moss,Day,Lithe,Sheer Striped (Black),Pencil (White),Hooded Side,Carnelian,Bow (Red),Dramatic Swoop,Dramatic Swoop,Glo,,,Mage,Capricorn,Gemini,Aquarius,2,4,5,7,3,5,,Labret (Silver),Bat Wings,Chinese Lantern,Basic Piercings (Silver),,,,
1310,https://cryptocoven.s3.amazonaws.com/2504b2b80262ddd78f6527e0b7af4a1d.png,Taupe,Night,Chiseled,Filmy Edwardian (White),Medium Flat (Black),Sunset Almond,Gold,Parted (Beige),Keridwen,Keridwen,Ash,,Creepy Yeha Pearls (Pearl),Enchantress,Pisces,Pisces,Taurus,3,0,6,0,4,2,,Bridge Piercing,,Monstera,Beaded Tassel (Ruby),,,,
1311,https://cryptocoven.s3.amazonaws.com/da1195467790c2126db7d3e8ef2511e6.png,Lavender,Day,Lithe,Sheer Sleeves (Black),Strong (Black),Hooded Side,Amber,Steady Pout,Curtain,,Pink,Hoodlondon Hathor (Gold),Piercing Choker (Pink),Seer,Cancer,Capricorn,Leo,5,8,7,2,4,7,,,,Chinese Lantern,,,,,
1312,https://cryptocoven.s3.amazonaws.com/9808c5d1fa8fd271cb7dd8989bb266e6.png,Taupe,Twilight,Chiseled,Sheer Striped (Black),Thin Arched (Grey),Alert,Grey,Thin Smirk (Orange),Xuannu,Nyx Long,Mermaid,Rounded Lady,,Necromancer,Capricorn,Capricorn,Capricorn,8,8,8,4,6,2,,,,Lily,,,,,
1313,https://cryptocoven.s3.amazonaws.com/f2bc8abcf8ba850d423446a87a162e44.png,Sea,Dawn,Lithe,Off Shoulder (Black),Strong (Black),Sunset Almond,Violet,Bow (Purple),Xuannu,Low Pony,Mauve,,,Mage,Virgo,Cancer,Scorpio,8,5,5,8,6,2,Mage Script Melovesmealot (Gold),Jeweled Septum Ring (Blue),Bat Wings,Scripted Mage Aura (Green),Basic Piercings (Silver),,,,
1314,https://cryptocoven.s3.amazonaws.com/06e984e4ee80085eed3b0ded9aa31a73.png,Lavender,Day,Soft,Mugler Collarbone Cutout (Black),Medium Flat (Black),Circle Lens,Green,Parted (Beige),Dramatic Swoop,Dramatic Swoop,Lilac,,,Enchantress,Scorpio,Cancer,Libra,9,3,6,5,8,7,,Bridge Piercing,,,,Punks Tiara (Gold),Dark Lady,,
1315,https://cryptocoven.s3.amazonaws.com/44d829bb25b63b0755eac02476f24dd8.png,Sea,Day,Lithe,Shroud (Dusty Rose),Thin Arched (Grey),Hypnotic,Pink,Thin Smirk,Baby Drill Curls,Soft Braid,Silver,,,Seer,Gemini,Pisces,Aries,7,5,4,3,4,8,,,,Monstera,Piercing Eye (Red),Darkened Demon Third Eye (Ruby),,,
1316,https://cryptocoven.s3.amazonaws.com/ee4551d9e650fba666550ed1f7d632f1.png,Rust,Dusk,Lithe,Romantic Puff (White),Medium Flat (Black),Alert,Grey,Thin Smirk,Baby Drill Curls,Soft Braid,Auburn,,Stars Thread (Natural),Hag,Leo,Pisces,Capricorn,8,3,8,5,4,1,,Simple Septum Ring (Silver),Gentle Horns,,,,,,
1317,https://cryptocoven.s3.amazonaws.com/7365dcf9c473834bf724672c1f793ba0.png,Pink,Midnight,Lithe,Shroud (Dusk),Strong (Black),Hooded Side,Glo,Thin Smirk,Keridwen,Aletheia,Pink,,Natural Dried Orange Stack (Natural),Hag,Virgo,Taurus,Capricorn,5,9,9,4,8,4,,Bridge Piercing,Gentle Horns,,,,,,
1318,https://cryptocoven.s3.amazonaws.com/a272784102a7fba123045fe41c9967fa.png,Sea,Day,Lithe,Sheer Sleeves (Black),Medium Flat (Black),Hooded Side,Pink,Glossy Medusa (Natural),Curtain,,Navy,Witch,,Seer,Sagittarius,Capricorn,Aries,9,7,2,5,4,6,,,,Lily,,,,,
1319,https://cryptocoven.s3.amazonaws.com/bd8998fa791493be85cb406df20014b5.png,Taupe,Midnight,Soft,Filmy Edwardian (White),Pencil (White),Babylash,Purple,Pursed (Natural),Dramatic Swoop,Dramatic Swoop,Silver,,,Enchantress,Aquarius,Virgo,Leo,9,4,2,3,7,8,,,Crown of Pearls,,Ethereum Hoops (Silver),,,,
1320,https://cryptocoven.s3.amazonaws.com/fa458a36762891317e7f004eb1a27dac.png,Moss,Twilight,Chiseled,Ragged Shawl (Black),Bushy (White),Smudged Monolid,Green,Pursed (Red),Curl Cloud,Curl Cloud,Navy,,Studded Collar (Silver),Mage,Capricorn,Scorpio,Scorpio,2,2,3,7,8,7,,,,,,,,,
1321,https://cryptocoven.s3.amazonaws.com/df4bd4ee6117931c4455035f99409468.png,Rust,Midnight,Soft,Striped Shroud (Umber),Bushy (White),Hooded Side,Glo,Dark Gloss (Dark),Xuannu,Soft Braid,Platinum,,,Occultist,Taurus,Gemini,Pisces,3,5,2,8,6,4,,,Maleficent Horns,Chinese Lantern,,Darkened Demon Third Eye (Glo),,,
1322,https://cryptocoven.s3.amazonaws.com/783d3f671e0e876a2b215112df7ae895.png,Lavender,Twilight,Chiseled,Mugler Tailored (White),Strong (Black),Clear Graphic,Grey,Bow (Purple),Curtain,Soft Braid,Lavender,Hoodlondon Hathor (Gold),,Enchantress,Leo,Cancer,Sagittarius,2,5,0,6,4,8,,,,,,,,,
1323,https://cryptocoven.s3.amazonaws.com/a85a22efcb190db8efc799d7a417d621.png,Pink,Twilight,Lithe,Leather Neck Piece (Black),Medium Flat (Black),Smudged,Gold,Steady Pout,Curl Cloud,,Platinum,Witch,Chaotic Howl Stack (Eclectic),Occultist,Aquarius,Sagittarius,Sagittarius,8,8,8,8,3,6,,,,Monstera,,,,,
1324,https://cryptocoven.s3.amazonaws.com/00aa93ba24b9ab54850c0b1330c5b03d.png,Rust,Twilight,Lithe,Off Shoulder (Black),Medium Flat (Black),Circle Lens,Grey Green,Round (Red),Aradia Short,Flowy Pony,Navy,,Metal Collar (Silver),Enchantress,Leo,Gemini,Pisces,6,3,6,3,8,2,,Labret (Silver),Crown of Pearls,,,,,,
1325,https://cryptocoven.s3.amazonaws.com/d9218f88203baf38bca1ac131b6eff81.png,Rust,Sunset,Chiseled,Striped Shroud (Umber),Strong (Black),Hooded Side,Pink,Plump (Natural),Aradia Short,Aletheia,Lilac,,Metal Collar (Silver),Enchantress,Leo,Capricorn,Libra,7,3,4,8,9,4,,,,,,Ethereum Diadem (Silver),,,
1326,https://cryptocoven.s3.amazonaws.com/50c94589b9b48887aff8c85974b3b386.png,Lavender,Day,Chiseled,Mugler Slashed (Black),Pencil (White),Sunset Almond,Glo,Pursed (Red),Xuannu,Nyx Long,Silver,Witch,,Occultist,Taurus,Gemini,Taurus,7,7,5,3,6,9,,Sad Girl Tears,,Monstera,,,,,
1327,https://cryptocoven.s3.amazonaws.com/ab574002dbd3ed654ff110209f12408b.png,Sea,Dusk,Soft,Sheer Striped (Black),Arched (Brown),Hooded Side,Gold,Parted (Black),Aletheia,Aletheia,Navy,,,Occultist,Pisces,Sagittarius,Virgo,4,3,5,9,6,9,Mark of the Damned,,Aries Horns,Lily,,,,,
1328,https://cryptocoven.s3.amazonaws.com/f87e0a12350949cfb5dee1c555763218.png,Sea,Night,Chiseled,Mugler Tailored (Black),Round (Navy),Circle Lens,Green,Bow (Purple),Xuannu,High Blowout,Steel,Dita Disk with Poppies,,Necromancer,Virgo,Leo,Capricorn,6,3,1,9,5,4,,,,Monstera,Basic Piercings (Silver),,,,
1329,https://cryptocoven.s3.amazonaws.com/e132c2946ce2fdd30714c98175179f1f.png,Sea,Dawn,Chiseled,Open Collar with Bow (Black),Round (Navy),Alert,Grey,Round (Red),Dramatic Swoop,Dramatic Swoop,Steel,,,Mage,Sagittarius,Pisces,Leo,0,1,3,3,8,0,Cheek Mole,,Bat Wings,,,,,,
1330,https://cryptocoven.s3.amazonaws.com/0f51411ad61369a98810189935e21cab.png,Plum,Day,Chiseled,Wide Collared Shirt (White),Bushy (White),Smudged,Red,Glossy Medusa (Natural),Dramatic Swoop,Dramatic Swoop,Platinum,,,Necromancer,Sagittarius,Scorpio,Cancer,5,4,2,9,8,5,,,,,Basic Piercings (Silver),,,,
1331,https://cryptocoven.s3.amazonaws.com/81d58bc84d27eeacedc37f5ca0254558.png,Sea,Midnight,Soft,Shroud (Dusty Rose),Arched (Brown),Blank,Black,Bow (Purple),Xuannu,Calm Pigtails,Auburn,,,Seer,Sagittarius,Leo,Scorpio,9,8,3,0,3,7,Freckles,Eyepatch (Rose),,Chinese Lantern,,,Dark Lady,,
1332,https://cryptocoven.s3.amazonaws.com/8732a6f1dfbffd2f652562bb1d4422ab.png,Moss,Day,Chiseled,Romantic Puff (White),Arched (Brown),Clear Graphic,Grey,Parted (Black),Aradia,Aradia,Pink,Witch,Natural Dried Orange Stack (Natural),Hag,Leo,Aries,Sagittarius,5,7,6,4,3,2,,Simple Septum Ring (Silver),,Monstera,Basic Piercings (Silver),,,,
1333,https://cryptocoven.s3.amazonaws.com/59a4d052b0b238879cd634c24095c8e5.png,Moss,Sunset,Lithe,Leather Neck Piece (Black),Thin Arched (Grey),Hypnotic,Grey,Parted (Beige),Nyx,,Lilac,Valkyrie Light (White),,Necromancer,Taurus,Cancer,Virgo,5,7,4,9,7,2,,,,,,,,,Feather Robe (Black)
1334,https://cryptocoven.s3.amazonaws.com/4b44bb5349bba2a7086c3a7eceac733d.png,Plum,Sunset,Chiseled,Striped Shroud (Umber),Bushy (Brown),Blank,Flooded Red,Parted (Black),Xuannu,Cute Pigtails,Navy,,,Seer,Pisces,Cancer,Virgo,9,3,1,8,2,4,,Blindfold (Aquamarine),,Chinese Lantern,,,,,
1335,https://cryptocoven.s3.amazonaws.com/ebebe1c5ae65f7b6b4b9d48bc7fc0ccb.png,Taupe,Sunset,Lithe,Mugler Collarbone Cutout (Black),Pencil (White),Smudged Monolid,Red,Plump (Natural),Curtain,,Auburn,Chic Disk (Black),,Necromancer,Pisces,Taurus,Aquarius,5,8,0,7,8,2,,,,,,,,,
1336,https://cryptocoven.s3.amazonaws.com/cbf7d9dc217c4421aaf73f11a5c22de7.png,Taupe,Day,Soft,Shroud (Sage),Thin Arched (Grey),Sunset Almond,Glo,Bow (Brown),Aradia,Aradia,Platinum,Straw Circle,,Hag,Sagittarius,Libra,Cancer,7,8,4,6,2,4,,Labret (Silver),,Chinese Lantern,Basic Piercings (Silver),,,,
1337,https://cryptocoven.s3.amazonaws.com/8bb3e328ef44f5a3f88be84eef0871ce.png,Peach,Dawn,Soft,Ragged Shawl (Black),,The Stalk Lined,Red,Medusa (Natural),Aradia,Aradia,Lavender,Witch,,Occultist,Capricorn,Aries,Leo,8,6,6,9,8,9,,,,,,,,,Bone Corset (White)
1338,https://cryptocoven.s3.amazonaws.com/976c714528b82e01275b012bca6dfa9b.png,Plum,Sunset,Lithe,Off Shoulder (Black),Arched (Brown),Circle Lens,Green,Glossy Medusa (Natural),Aradia Short,Keridwen,Ash,,,Necromancer,Virgo,Virgo,Sagittarius,9,3,7,8,1,5,,,,,Basic Piercings (Silver),,,,
1339,https://cryptocoven.s3.amazonaws.com/940737b0dda77bebddfb41d09ece2cc1.png,Sea,Day,Soft,Mugler Collarbone Cutout (Black),Bushy (White),Smudged Snake,Aqua,Plump (Black),Aletheia,Cute Pigtails,Platinum,,,Occultist,Leo,Pisces,Virgo,4,4,6,8,3,6,,,,,Fang Charm (Blue),,,,Bone Corset (Black)
1340,https://cryptocoven.s3.amazonaws.com/25dcfb55494beb92b1c88817d9eb78ae.png,Lavender,Dusk,Lithe,Mock Neck (Black),Bushy (White),Babylash,Green,Bow (Coral),Curtain,Soft Braid,Lavender,,Studded Collar (Silver),Hag,Sagittarius,Sagittarius,Cancer,6,9,9,0,9,5,,Jeweled Septum Ring (Blue),Anemone Horns,Monstera,,,,,
1341,https://cryptocoven.s3.amazonaws.com/8343ba3c65b11cfe2e74c1b102559bf5.png,Taupe,Night,Lithe,Shredded Top (Black),Bushy (Brown),Hooded Side,Glo,Witchy Pout (Black),Aradia,Aradia,Steel,Lined (Black),,Seer,Cancer,Taurus,Capricorn,9,3,5,4,5,4,,,,Monstera,Piercing Eye (Pink),,,,
1342,https://cryptocoven.s3.amazonaws.com/d634d6f4383b3bb809f1390fd84f8e60.png,Pink,Midnight,Soft,Sheer Striped (Black),Bushy (Brown),Sunset Almond,Glo,Plump (Natural),Dramatic Swoop,Dramatic Swoop,Navy,,,Necromancer,Gemini,Gemini,Taurus,8,2,3,5,3,0,,,Bat Wings,Lily,,,,,
1343,https://cryptocoven.s3.amazonaws.com/7f750011f6d09ceaf4489a4b5d4893da.png,Plum,Dawn,Lithe,Straps (Black),Pencil (White),Sunset Almond,Violet,Bow (Purple),Aletheia,Aletheia,Navy,,,Mage,Leo,Scorpio,Sagittarius,1,2,2,9,6,1,Mage Mark Moon (Blue),Simple Septum Ring (Silver),Bat Wings,Scripted Circle (Blue),,,,,
1344,https://cryptocoven.s3.amazonaws.com/bea63317f4c6e7c1d62a0e6037fa8d53.png,Taupe,Dusk,Soft,Straps (Black),Bushy (White),Circle Lens,Green,Bow (Coral),Curtain,High Blowout,Silver,,,Hag,Sagittarius,Aries,Taurus,0,3,8,8,7,1,Star Mark (White),,Jeweled Antlers,Chinese Lantern,,,,,
1345,https://cryptocoven.s3.amazonaws.com/7cc1a7f8171056d8151da42311d77116.png,Pink,Night,Lithe,Mock Neck (Black),Bushy (White),Circle Lens,Grey Green,Bow (Dusk),Miranda Priestly,,Mauve,,,Mage,Sagittarius,Libra,Capricorn,1,2,4,9,8,7,,,,Chinese Lantern,Basic Piercings (Silver),,,,
1346,https://cryptocoven.s3.amazonaws.com/8a38021ed5a22d39051f1dcff0453e7b.png,Lavender,Dusk,Chiseled,Leather Neck Piece (Black),Pencil (White),Smudged Monolid,Green,Bow (Purple),Curtain,Calm Pigtails,Lavender,,,Necromancer,Virgo,Aries,Sagittarius,5,9,7,9,0,3,,,,Monstera,Basic Piercings (Silver),,,,
1347,https://cryptocoven.s3.amazonaws.com/1506378e0a797a12143936b1b58c7ec3.png,Pink,Night,Lithe,Straps (Black),Bushy (White),Sunset Almond,Gold,Steady Pout,Aradia Short,Flowy Pony,Mauve,,,Mage,Virgo,Cancer,Sagittarius,5,5,9,5,2,7,,,,Scripted Mage Aura (Gold),Basic Piercings (Silver),,Cute Buns,,
1348,https://cryptocoven.s3.amazonaws.com/bc966854ee9335a18a1bc7cc2f815d2f.png,Sea,Twilight,Chiseled,Peter Pan (White),Pencil (White),Hooded Side,Glo,Dark Gloss (Dark),Dramatic Swoop,Dramatic Swoop,Lilac,,,Mage,Virgo,Capricorn,Aquarius,0,0,9,9,6,2,,,Bat Wings,,,,,,
1349,https://cryptocoven.s3.amazonaws.com/e7b83a077b02c80514c82049bb753b74.png,Pink,Dawn,Lithe,Mock Neck (Black),Bushy (Brown),Hypnotic,Grey,Round (Red),Keridwen,,Steel,,Moon Necklace (Silver),Hag,Scorpio,Sagittarius,Gemini,5,5,5,1,4,0,,,,,,,,,
1350,https://cryptocoven.s3.amazonaws.com/c53bb90c20861f075b2b93912dfbcd2f.png,Lavender,Midnight,Lithe,Mugler Collarbone Cutout (Black),Medium Flat (Black),Circle Lens,Grey Green,Bow (Dusk),Curl Cloud,Curl Cloud,Lilac,,,Necromancer,Gemini,Scorpio,Virgo,8,6,4,9,0,7,,Labret (Silver),,Lily,,,,,
1351,https://cryptocoven.s3.amazonaws.com/7f4edcc5a89ac7dccdaec805bcefdce4.png,Moss,Sunset,Chiseled,Peter Pan (White),Strong (Black),Smudged,Gold,Witchy Pout (Black),Curtain,Soft Braid,Platinum,,Moon Necklace (Silver),Mage,Taurus,Leo,Sagittarius,4,7,2,4,7,8,,,,Scripted Mage Aura (Gold),,,,,
1352,https://cryptocoven.s3.amazonaws.com/4817cbf77b60615de5cbdeddc85e1905.png,Sea,Twilight,Soft,Ragged Shawl (Black),Thin Arched (Grey),Smudged Snake,Pink,Plump (Natural),Xuannu,Soft Braid,Glo,Witch,Moon Choker (Silver),Mage,Scorpio,Taurus,Taurus,2,6,8,8,8,0,,Simple Septum Ring (Silver),,,,,,,
1353,https://cryptocoven.s3.amazonaws.com/9d6fa6869a6097a89c2bb4240067e572.png,Peach,Day,Lithe,Shroud (Dusty Rose),Pencil (White),Hooded Side,Carnelian,Plump (Natural),Aletheia,Keridwen,Auburn,,,Seer,Sagittarius,Sagittarius,Gemini,4,7,7,4,6,8,,,,Monstera,,,,,
1354,https://cryptocoven.s3.amazonaws.com/bd9b431925f6cd183dc6f0493d0bbcf3.png,Pink,Dawn,Chiseled,Vivetta Ghost Hand Collar (Black),Bushy (White),Circle Lens,Hazel,Parted (Black),Xuannu,Flowing Pigtails,Glo,,,Mage,Cancer,Pisces,Taurus,8,7,5,6,4,1,Mage Script Geometric (Blue),Jeweled Septum Ring (Blue),Bat Wings,,Basic Piercings (Silver),,,,
1355,https://cryptocoven.s3.amazonaws.com/ecf4e7bdbc0326016287cd1407c0c2cd.png,Peach,Dusk,Chiseled,Shroud (Dusk),Thin Arched (Grey),Circle Lens,Bicolor Pink Turquoise,Plump (Natural),Box Braids,,Black,Mushroom,,Hag,Leo,Virgo,Libra,2,7,5,2,8,5,,,,,,,,,
1356,https://cryptocoven.s3.amazonaws.com/b212f2ff8a5bf78f53ca49a4b58e4ba3.png,Lavender,Dawn,Lithe,Peter Pan (White),Arched (Brown),Smudged,Red,Plump (Natural),Xuannu,,Mauve,,,Necromancer,Libra,Scorpio,Leo,7,2,1,5,0,8,,Simple Septum Ring (Silver),,Chinese Lantern,Basic Piercings (Silver),,,,
1357,https://cryptocoven.s3.amazonaws.com/f58e16441a3126824e231b4405b77cd2.png,Taupe,Night,Chiseled,Mugler Tailored (Black),Thin Arched (Grey),Hooded Side,Gold,Pursed (Red),Gelled Baby Hair,,Black,Proper Witch,Creepy Yeha Pearls (Pearl),Necromancer,Pisces,Pisces,Cancer,8,3,6,9,4,3,,,,,Dangly Bones (Bone),,,,
1358,https://cryptocoven.s3.amazonaws.com/1378a876aa1383b2a484d6576ef54040.png,Moss,Dusk,Lithe,Sheer Top (Black),Round (Navy),Circle Lens,Hazel,Witchy Pout (Black),Nyx,Calm Pigtails,Platinum,,,Mage,Gemini,Virgo,Virgo,8,8,3,2,1,2,Mage Script Serpent,Septum Ring (Turquoise),,,Basic Piercings (Silver),,,,
1359,https://cryptocoven.s3.amazonaws.com/6824aef058c8654a181992dc1644e216.png,Taupe,Dawn,Lithe,Feathered Cloak (Red),Medium Flat (Black),Sunset Almond,Gold,Bow (Purple),Miranda Priestly,,Platinum,,Metal Collar (Silver),Enchantress,Virgo,Aries,Gemini,6,6,1,3,4,4,,Pearl Veil,Feathered Hairpins,Chinese Lantern,,,,,
1360,https://cryptocoven.s3.amazonaws.com/a9c993b79ecdfe06b906e4e26b1222bf.png,Sea,Dusk,Lithe,Sheer Top (Black),Pencil (White),Smudged Snake,Glo,Bow (Red),Nyx,Xuannu,Lavender,,,Mage,Sagittarius,Virgo,Gemini,0,6,2,5,5,2,,,,Monstera,,,,,
1361,https://cryptocoven.s3.amazonaws.com/98c1bb24b9384d9b10b5610900c663d9.png,Taupe,Dawn,Chiseled,Fluffy Shroud (White),Pencil (White),Babylash,Grey,Round (Red),Keridwen,High Blowout,Auburn,,Ethereum Thread (Natural),Hag,Virgo,Virgo,Leo,7,4,5,3,8,7,Freckles,Bridge Piercing,Gentle Horns,Lily,Basic Piercings (Silver),,,,
1362,https://cryptocoven.s3.amazonaws.com/5cf4a3215bef734dc9c1e0d318c27ed1.png,Taupe,Day,Chiseled,Shroud (Sage),Arched (Brown),Sunset Almond,Violet,Round (Dark),Aradia,Aradia,Ash,Hoodlondon Hathor (Gold),,Enchantress,Libra,Aries,Capricorn,7,0,2,7,5,2,,,,,Basic Piercings (Silver),,,Moth Gauze (White),
1363,https://cryptocoven.s3.amazonaws.com/0855bbcc5d32fc51ce0a5fa069c0067a.png,Lavender,Night,Lithe,Sheer Top (Black),Arched (Brown),Reverse Cateye,Glo,Witchy Pout (Black),Aradia Short,High Blowout,Steel,Valkyrie Dark,Moon Necklace (Silver),Necromancer,Scorpio,Taurus,Scorpio,4,3,8,7,7,6,,,,,Dangly Bones (Bone),,,,
1364,https://cryptocoven.s3.amazonaws.com/e043f13cba840c1d14202a72b4853dad.png,Plum,Night,Soft,Straps (Black),Thin Arched (Grey),Darkened Demon Bloom,Emerald,Plump (Natural),High Pony,,Mermaid,,,Occultist,Aries,Aquarius,Virgo,8,2,8,5,1,3,,,,,Bone Hoops (Gold),,,,
1365,https://cryptocoven.s3.amazonaws.com/5b5ab8712f4eadf417cf5e8327db288f.png,Pink,Dawn,Soft,Shredded Top (White),Bushy (White),Hooded Side,Carnelian,Medusa (Natural),Xuannu,Soft Braid,Navy,Witch,,Seer,Aquarius,Aquarius,Capricorn,8,9,9,6,7,1,,Bridge Piercing,,,,,,,
1366,https://cryptocoven.s3.amazonaws.com/018987ad90c52ea23a367575219e801b.png,Peach,Dawn,Chiseled,Mugler Collarbone Cutout (Black),,Inscribed Demon Bloom,Black,Glossy Medusa (Natural),Xuannu,,Ash,Witch,,Occultist,Sagittarius,Leo,Libra,5,5,5,9,5,4,,,,Lily,Bone Hoops (Silver),,,,
1367,https://cryptocoven.s3.amazonaws.com/9f70ae650c7b3f36f4829c9f9c095b8d.png,Taupe,Day,Chiseled,Open Collar with Bow (Black),Round (Navy),Shadowed,Purple,Parted (Black),Aradia,Aradia,Steel,,,Hag,Sagittarius,Gemini,Scorpio,4,8,8,7,7,0,,Bridge Piercing,Gentle Horns,Lily,,,,,
1368,https://cryptocoven.s3.amazonaws.com/496e7cba26c965768955bbf144c2407f.png,Lavender,Day,Lithe,Straps (Black),Round (Navy),Smudged Snake,Gold,Bow (Coral),Miranda Priestly,,Mauve,,,Seer,Virgo,Taurus,Aries,4,9,4,4,0,8,,Simple Septum Ring (Silver),,,,,Dark Lady,,
1369,https://cryptocoven.s3.amazonaws.com/3063ca44b3d9e46a79948d4317833a30.png,Taupe,Dusk,Chiseled,Striped Shroud (Umber),Bushy (White),Circle Lens,Lilac,Bow (Red),Aletheia,Aletheia,Lavender,,Eclectic Choker Stack (Green),Occultist,Virgo,Virgo,Virgo,0,2,1,9,9,9,,,Maleficent Horns,Monstera,,,,,
1370,https://cryptocoven.s3.amazonaws.com/f8a8af120f8cfa22f7a261d4b53ba9e1.png,Pink,Dawn,Chiseled,Mock Neck (Black),Pencil (White),Hypnotic,Grey,Witchy Pout (Black),Curl Cloud,Curl Cloud,Glo,,,Mage,Libra,Cancer,Sagittarius,6,7,4,9,5,1,,,Bat Wings,,,,,,
1371,https://cryptocoven.s3.amazonaws.com/a3637965608e0164811dea6038f38adb.png,Moss,Midnight,Lithe,Fluffy Shroud (White),Pencil (White),Sunset Almond,Violet,Bow (Dusk),Baby Drill Curls,Flowy Pony,Ash,,,Hag,Aquarius,Gemini,Leo,0,9,8,0,5,3,,,,,,,Cute Buns,,
1372,https://cryptocoven.s3.amazonaws.com/872f44f13e25971b3f98e935020df6d5.png,Sea,Dusk,Chiseled,Straps (Black),Bushy (White),Shadowed,Purple,Parted (Black),Xuannu,Cute Pigtails,Mermaid,,Piercing Choker (Purple),Seer,Leo,Libra,Sagittarius,9,9,1,7,5,3,Eye of Hinoto,,,,,,,,
1373,https://cryptocoven.s3.amazonaws.com/3a8edc87f813f66b236d2dc8b68762fb.png,Lavender,Day,Chiseled,Sheer Striped (Black),Bushy (Brown),Hooded Side,Gold,Parted (Beige),Aradia,Aradia,Lilac,,,Occultist,Libra,Virgo,Gemini,0,4,5,9,9,3,,,Horns of Taurus,Lily,,Darkened Demon Third Eye (Sapphire),,,
1374,https://cryptocoven.s3.amazonaws.com/7883b1a917958e116b81619f56805cb6.png,Plum,Twilight,Lithe,Mock Neck (Black),Pencil (White),Smudged,Gold,Witchy Pout (Black),Nyx,,Pink,,Eclectic Choker Stack (Blue),Occultist,Gemini,Taurus,Gemini,7,0,8,9,3,9,Horned Moon Markings (Black),,Maleficent Horns,,,,,,
1375,https://cryptocoven.s3.amazonaws.com/fd36a97c5dc7a318f2a6a8547215819a.png,Peach,Dusk,Chiseled,Ragged Shawl (Black),Strong (Black),Babylash,Green,Parted (Beige),Aradia Short,Keridwen,Lilac,,,Hag,Scorpio,Libra,Leo,2,3,9,3,4,1,Mark of Moon Tears (White),,Leafy Crown,,,,,,
